y_true,decision_point_id
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Cancelled,d4d1b4e4db8285026ac8d09a789297af04b551058c6ce54ba5c5f89e804e49e2
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
W_Handle leads,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Cancelled,d4d1b4e4db8285026ac8d09a789297af04b551058c6ce54ba5c5f89e804e49e2
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
O_Create Offer,d4d1b4e4db8285026ac8d09a789297af04b551058c6ce54ba5c5f89e804e49e2
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
O_Create Offer,d4d1b4e4db8285026ac8d09a789297af04b551058c6ce54ba5c5f89e804e49e2
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Cancelled,d4d1b4e4db8285026ac8d09a789297af04b551058c6ce54ba5c5f89e804e49e2
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
O_Create Offer,d4d1b4e4db8285026ac8d09a789297af04b551058c6ce54ba5c5f89e804e49e2
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Cancelled,d4d1b4e4db8285026ac8d09a789297af04b551058c6ce54ba5c5f89e804e49e2
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
W_Handle leads,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Cancelled,d4d1b4e4db8285026ac8d09a789297af04b551058c6ce54ba5c5f89e804e49e2
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
O_Create Offer,d4d1b4e4db8285026ac8d09a789297af04b551058c6ce54ba5c5f89e804e49e2
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
W_Handle leads,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Cancelled,d4d1b4e4db8285026ac8d09a789297af04b551058c6ce54ba5c5f89e804e49e2
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Cancelled,d4d1b4e4db8285026ac8d09a789297af04b551058c6ce54ba5c5f89e804e49e2
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
W_Handle leads,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Cancelled,d4d1b4e4db8285026ac8d09a789297af04b551058c6ce54ba5c5f89e804e49e2
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
W_Handle leads,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
W_Handle leads,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
W_Handle leads,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Cancelled,d4d1b4e4db8285026ac8d09a789297af04b551058c6ce54ba5c5f89e804e49e2
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Cancelled,d4d1b4e4db8285026ac8d09a789297af04b551058c6ce54ba5c5f89e804e49e2
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
W_Handle leads,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
O_Create Offer,d4d1b4e4db8285026ac8d09a789297af04b551058c6ce54ba5c5f89e804e49e2
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
W_Handle leads,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Cancelled,d4d1b4e4db8285026ac8d09a789297af04b551058c6ce54ba5c5f89e804e49e2
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Cancelled,d4d1b4e4db8285026ac8d09a789297af04b551058c6ce54ba5c5f89e804e49e2
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
W_Handle leads,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
O_Create Offer,d4d1b4e4db8285026ac8d09a789297af04b551058c6ce54ba5c5f89e804e49e2
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
O_Create Offer,d4d1b4e4db8285026ac8d09a789297af04b551058c6ce54ba5c5f89e804e49e2
A_Concept,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Submitted,f425e14def284db9d10b1e2e81b7d87b11e23229e14dbd5aacaad824a189a229
A_Concept,ea54a03ddb98229f44e66b947d886ed8bdc15fc037d279ae15975e25b6714433
O_Create Offer,2adc7eee0ae2a7d57e0ac8c44f9cd92294ff30fb349db98b90b0d4b071da770c
A_Complete,3ac609b51d357d8d7956a20f2c64f85c67875a41213315d65bcabce6534b66b4
A_Cancelled,d4d1b4e4db8285026ac8d09a789297af04b551058c6ce54ba5c5f89e804e49e2
